카테고리: 모든 카테고리

지역,data centers: (25. 8. 10.~26. 8. 10.)
와이오밍,100
워싱턴 DC,53
캔사스,40
버지니아,37
메릴랜드,29
조지아,27
펜실베니아,27
콜로라도,26
오하이오,26
위스콘신,26
오레곤,26
워싱턴,26
텍사스,26
유타,25
일리노이,25
미시간,24
인디아나,24
웨스트버지니아,24
네바다,24
캘리포니아,24
미주리,23
오클라호마,23
뉴욕,23
노스다코타,22
몬타나,22
매사추세츠,21
아리조나,21
미네소타,21
아이오와,21
켄터키,21
뉴저지,20
플로리다,20
노스캐롤라이나,20
뉴멕시코,19
사우스다코타,19
앨라배마,18
루이지애나,18
테네시,18
델라웨어,18
알래스카,18
뉴햄프셔,17
버몬트,17
아이다호,16
코네티컷,16
사우스캐롤라이나,16
네브래스카,16
아칸소,16
메인,15
미시시피,15
하와이,14
로드아일랜드,13
