카테고리: 모든 카테고리

지역,google pixel: (25. 8. 21.~26. 8. 21.)
와이오밍,100
캔사스,26
워싱턴,26
유타,25
콜로라도,25
캘리포니아,23
미네소타,22
오레곤,22
아리조나,22
워싱턴 DC,22
뉴욕,22
버지니아,20
매사추세츠,20
일리노이,20
노스캐롤라이나,20
오하이오,20
뉴저지,20
펜실베니아,19
아이다호,19
아이오와,19
텍사스,19
네바다,19
네브래스카,19
미시간,18
위스콘신,18
사우스다코타,18
몬타나,18
델라웨어,18
테네시,18
플로리다,18
조지아,18
메릴랜드,18
오클라호마,18
버몬트,17
뉴멕시코,17
뉴햄프셔,17
미주리,17
인디아나,17
노스다코타,17
사우스캐롤라이나,17
알래스카,16
앨라배마,16
코네티컷,16
메인,16
로드아일랜드,16
켄터키,16
하와이,15
아칸소,15
루이지애나,14
웨스트버지니아,14
미시시피,10
