카테고리: 모든 카테고리

지역,cruise missiles: (25. 8. 21.~26. 8. 21.)
와이오밍,100
워싱턴 DC,52
캔사스,34
워싱턴,26
웨스트버지니아,26
콜로라도,24
하와이,24
버지니아,22
매사추세츠,22
로드아일랜드,20
메릴랜드,20
미시시피,20
캘리포니아,20
앨라배마,18
네바다,18
유타,18
뉴멕시코,18
조지아,18
플로리다,16
아리조나,16
뉴욕,16
오레곤,16
뉴저지,16
펜실베니아,16
네브래스카,16
일리노이,16
미주리,14
노스캐롤라이나,14
미시간,14
오클라호마,14
텍사스,14
인디아나,14
미네소타,14
뉴햄프셔,14
오하이오,14
코네티컷,12
아이다호,12
사우스캐롤라이나,12
테네시,12
아이오와,12
루이지애나,12
위스콘신,10
켄터키,10
아칸소,10
노스다코타,
사우스다코타,
몬타나,
메인,
델라웨어,
버몬트,
알래스카,
