카테고리: 모든 카테고리

지역,call duty: (25. 7. 20.~26. 7. 20.)
와이오밍,100
웨스트버지니아,62
켄터키,59
캔사스,58
오클라호마,58
알래스카,55
아칸소,55
뉴멕시코,55
미주리,53
오하이오,53
인디아나,53
테네시,52
네바다,51
루이지애나,51
앨라배마,51
텍사스,51
미시시피,50
아리조나,50
조지아,48
아이오와,48
아이다호,47
노스캐롤라이나,47
버지니아,46
미시간,46
펜실베니아,46
일리노이,46
노스다코타,46
캘리포니아,46
사우스캐롤라이나,46
유타,45
네브래스카,45
워싱턴,44
오레곤,44
사우스다코타,44
플로리다,43
메릴랜드,43
뉴욕,42
위스콘신,42
콜로라도,42
코네티컷,42
몬타나,41
미네소타,40
델라웨어,40
뉴저지,38
로드아일랜드,38
버몬트,37
매사추세츠,36
메인,36
뉴햄프셔,33
하와이,32
워싱턴 DC,30
