카테고리: 모든 카테고리
"release date: (25. 7. 28.~26. 7. 28., 미국)"

TOP
계절,100
그랜드 테프트 오토,36
그랜드 테프트 오토 VI,31
기묘한 이야기,25
보도자료,11
배틀필드 6,9
스파이더맨: 브랜드 뉴 데이,8
콜 오브 듀티: 블랙 옵스 7,8
Toy Story,8
토이 스토리 5,7
포르자 호라이즌 6,6

RISING
배틀필드 6,급등
포르자 호라이즌 6,급등
Toy Story,"+2,850%"
스파이더맨: 브랜드 뉴 데이,"+1,850%"
보도자료,"+1,850%"
콜 오브 듀티: 블랙 옵스 7,"+1,650%"
토이 스토리 5,"+1,250%"
기묘한 이야기,+190%
그랜드 테프트 오토,+60%

