카테고리: 모든 카테고리
"elder scrolls: (25. 7. 20.~26. 7. 20., 미국)"

TOP
엘더 스크롤,100
엘더스크롤 온라인,23
The Elder Scrolls VI,20
엘더 스크롤 V: 스카이림,15
비디오 게임,10
엘더 스크롤 IV: 오블리비언,8
The Elder Scrolls Iv,6
폴아웃,3
엘더 스크롤 III: 모로윈드,3
엑스박스,2
모드,2
The Elder Scrolls V: Skyrim – Special Edition,2
플레이스테이션 5,2
엘더 스크롤: 아레나,2
인종,2
스팀,1
엘더 스크롤 2: 대거폴,1
Tamriel,1
Alkahest,<1

RISING
Tamriel,급등
Alkahest,급등
폴아웃,+80%
The Elder Scrolls V: Skyrim – Special Edition,+80%
엑스박스,+40%
엘더스크롤 온라인,+40%

