카테고리: 모든 카테고리

지역,crazy taxi: (25. 9. 15.~26. 9. 15.)
버몬트,100
뉴햄프셔,87
네바다,87
아리조나,87
아칸소,83
펜실베니아,79
캘리포니아,75
일리노이,75
델라웨어,75
오레곤,75
버지니아,75
오하이오,75
워싱턴 DC,70
워싱턴,70
캔사스,70
뉴욕,70
미네소타,70
뉴저지,70
몬타나,70
위스콘신,70
미주리,70
오클라호마,70
미시간,70
코네티컷,70
노스다코타,66
아이오와,66
유타,66
켄터키,66
플로리다,66
웨스트버지니아,66
콜로라도,62
인디아나,62
메릴랜드,62
테네시,62
노스캐롤라이나,58
앨라배마,58
조지아,58
사우스캐롤라이나,58
매사추세츠,58
텍사스,58
루이지애나,54
아이다호,54
네브래스카,54
하와이,54
뉴멕시코,50
메인,45
로드아일랜드,45
미시시피,41
알래스카,4
사우스다코타,
와이오밍,
