카테고리: 모든 카테고리

지역,techcrunch disrupt: (25. 9. 15.~26. 9. 15.)
와이오밍,100
캘리포니아,35
워싱턴,15
메릴랜드,15
뉴욕,15
테네시,10
루이지애나,10
매사추세츠,10
오레곤,10
버지니아,10
아리조나,5
일리노이,5
조지아,5
노스캐롤라이나,5
뉴저지,5
펜실베니아,5
플로리다,5
텍사스,5
오하이오,5
캔사스,<1
미시시피,
알래스카,
미시간,
미네소타,
미주리,
켄터키,
몬타나,
인디아나,
노스다코타,
네브래스카,
뉴햄프셔,
아이다호,
뉴멕시코,
네바다,
아이오와,
하와이,
오클라호마,
델라웨어,
워싱턴 DC,
로드아일랜드,
사우스캐롤라이나,
사우스다코타,
코네티컷,
콜로라도,
유타,
아칸소,
버몬트,
앨라배마,
위스콘신,
웨스트버지니아,
메인,
