카테고리: 모든 카테고리

지역,data center: (25. 9. 22.~26. 9. 22.)
와이오밍,100
워싱턴 DC,30
캔사스,27
유타,23
버지니아,22
뉴욕,22
캘리포니아,19
조지아,19
텍사스,18
워싱턴,18
메릴랜드,17
콜로라도,17
미주리,17
아이오와,17
오클라호마,16
오하이오,16
일리노이,16
미시간,16
네바다,16
위스콘신,15
아리조나,15
매사추세츠,15
펜실베니아,15
루이지애나,15
오레곤,14
뉴저지,14
인디아나,14
뉴멕시코,13
테네시,13
미네소타,13
웨스트버지니아,13
앨라배마,13
켄터키,13
노스다코타,13
노스캐롤라이나,12
플로리다,12
델라웨어,12
사우스캐롤라이나,12
코네티컷,11
미시시피,11
네브래스카,11
사우스다코타,11
아칸소,11
아이다호,10
뉴햄프셔,10
몬타나,9
알래스카,9
하와이,9
버몬트,9
메인,8
로드아일랜드,8
