카테고리: 모든 카테고리

지역,data center: (25. 9. 3.~26. 9. 3.)
와이오밍,100
워싱턴 DC,28
캔사스,22
버지니아,21
유타,20
뉴욕,18
캘리포니아,17
조지아,16
워싱턴,16
메릴랜드,16
일리노이,15
콜로라도,15
텍사스,14
미주리,14
위스콘신,14
오클라호마,14
네바다,14
매사추세츠,13
루이지애나,13
인디아나,13
오하이오,13
미시간,13
아리조나,13
아이오와,13
펜실베니아,12
뉴저지,12
미네소타,12
뉴멕시코,11
오레곤,11
웨스트버지니아,11
플로리다,11
노스캐롤라이나,11
앨라배마,11
노스다코타,11
켄터키,11
테네시,11
미시시피,10
델라웨어,10
사우스캐롤라이나,10
코네티컷,10
사우스다코타,10
아칸소,10
아이다호,9
네브래스카,9
뉴햄프셔,9
몬타나,8
알래스카,8
하와이,8
버몬트,8
로드아일랜드,7
메인,7
