카테고리: 모든 카테고리

지역,pixel launch: (25. 8. 10.~26. 8. 10.)
와이오밍,100
캔사스,19
워싱턴,13
캘리포니아,13
뉴욕,10
매사추세츠,10
워싱턴 DC,9
유타,9
플로리다,8
버지니아,8
메릴랜드,8
하와이,8
콜로라도,8
텍사스,8
뉴저지,7
일리노이,7
네바다,7
코네티컷,7
오레곤,7
오클라호마,7
조지아,7
미시간,6
아리조나,6
미네소타,6
테네시,6
뉴햄프셔,6
펜실베니아,6
노스캐롤라이나,6
미시시피,6
네브래스카,5
켄터키,5
루이지애나,5
앨라배마,5
아이다호,5
위스콘신,5
미주리,5
오하이오,4
인디아나,3
사우스캐롤라이나,3
아칸소,3
아이오와,3
노스다코타,
몬타나,
뉴멕시코,
메인,
로드아일랜드,
사우스다코타,
델라웨어,
버몬트,
웨스트버지니아,
알래스카,
