카테고리: 모든 카테고리

지역,galaxy fold: (25. 8. 10.~26. 8. 10.)
와이오밍,100
캔사스,35
워싱턴 DC,30
뉴욕,28
네바다,26
알래스카,24
캘리포니아,24
콜로라도,23
일리노이,23
텍사스,22
뉴멕시코,22
하와이,22
플로리다,22
루이지애나,22
조지아,21
워싱턴,21
앨라배마,21
델라웨어,20
켄터키,19
버지니아,19
웨스트버지니아,19
테네시,19
미시시피,19
미주리,18
아칸소,18
사우스캐롤라이나,18
메릴랜드,18
뉴저지,18
인디아나,18
아리조나,18
오클라호마,18
펜실베니아,18
코네티컷,18
오하이오,17
로드아일랜드,17
노스다코타,17
유타,17
뉴햄프셔,17
매사추세츠,16
오레곤,16
노스캐롤라이나,16
사우스다코타,16
미시간,16
미네소타,15
아이오와,15
네브래스카,15
위스콘신,15
아이다호,14
몬타나,14
버몬트,13
메인,13
