카테고리: 모든 카테고리

지역,galaxy fold: (25. 7. 20.~26. 7. 20.)
와이오밍,100
캔사스,31
워싱턴 DC,28
캘리포니아,26
뉴욕,25
알래스카,25
네바다,25
콜로라도,23
조지아,23
텍사스,22
뉴멕시코,22
루이지애나,21
하와이,21
플로리다,21
워싱턴,20
일리노이,20
앨라배마,20
오클라호마,19
켄터키,19
버지니아,19
미시시피,19
델라웨어,19
펜실베니아,19
테네시,19
웨스트버지니아,19
뉴저지,18
로드아일랜드,18
사우스캐롤라이나,18
메릴랜드,18
코네티컷,18
아리조나,18
미주리,18
노스다코타,18
인디아나,17
아칸소,17
오하이오,17
매사추세츠,17
노스캐롤라이나,16
사우스다코타,16
유타,16
미시간,16
뉴햄프셔,16
오레곤,15
아이오와,15
미네소타,15
네브래스카,15
위스콘신,15
몬타나,14
아이다호,13
버몬트,13
메인,11
