카테고리: 모든 카테고리

지역,iphone duo: (25. 9. 15.~26. 9. 15.)
와이오밍,100
캘리포니아,35
하와이,32
네바다,31
워싱턴 DC,31
뉴저지,29
워싱턴,29
유타,29
텍사스,28
버지니아,27
뉴욕,27
플로리다,27
매사추세츠,27
조지아,26
알래스카,26
델라웨어,26
아리조나,26
코네티컷,25
메릴랜드,25
콜로라도,25
테네시,25
일리노이,24
로드아일랜드,24
펜실베니아,24
노스캐롤라이나,23
오레곤,23
인디아나,23
오클라호마,23
앨라배마,22
루이지애나,22
사우스캐롤라이나,22
오하이오,22
뉴멕시코,22
미주리,22
아이다호,21
켄터키,21
미시간,21
미네소타,20
위스콘신,20
미시시피,20
네브래스카,20
아칸소,20
캔사스,20
웨스트버지니아,19
뉴햄프셔,18
노스다코타,18
버몬트,18
몬타나,17
아이오와,16
메인,14
사우스다코타,12
