카테고리: 모든 카테고리

지역,data center: (25. 7. 27.~26. 7. 27.)
와이오밍,100
워싱턴 DC,27
캔사스,24
유타,23
버지니아,21
캘리포니아,18
뉴욕,18
메릴랜드,16
콜로라도,16
조지아,16
일리노이,15
워싱턴,15
미주리,15
텍사스,15
위스콘신,14
네바다,14
매사추세츠,13
펜실베니아,13
인디아나,13
루이지애나,13
오하이오,13
아리조나,13
미시간,13
오클라호마,13
아이오와,13
뉴저지,12
오레곤,12
테네시,11
플로리다,11
노스캐롤라이나,11
미네소타,11
웨스트버지니아,11
뉴멕시코,11
켄터키,11
노스다코타,10
델라웨어,10
미시시피,10
앨라배마,10
코네티컷,10
사우스다코타,10
사우스캐롤라이나,10
네브래스카,9
아칸소,9
아이다호,9
뉴햄프셔,9
몬타나,8
알래스카,8
하와이,8
버몬트,8
로드아일랜드,7
메인,6
