카테고리: 모든 카테고리

지역,galaxy fold: (25. 7. 28.~26. 7. 28.)
와이오밍,100
캔사스,31
워싱턴 DC,28
뉴욕,26
알래스카,25
캘리포니아,25
네바다,25
콜로라도,23
조지아,23
텍사스,22
뉴멕시코,22
플로리다,21
루이지애나,21
하와이,21
일리노이,20
워싱턴,20
앨라배마,20
버지니아,19
미시시피,19
켄터키,19
테네시,19
델라웨어,19
사우스캐롤라이나,18
미주리,18
웨스트버지니아,18
메릴랜드,18
뉴저지,18
아리조나,18
오클라호마,18
인디아나,17
펜실베니아,17
아칸소,17
코네티컷,17
로드아일랜드,17
노스다코타,17
매사추세츠,17
오하이오,16
뉴햄프셔,16
사우스다코타,16
노스캐롤라이나,16
유타,16
미시간,16
오레곤,15
아이오와,15
미네소타,15
네브래스카,15
위스콘신,15
아이다호,14
버몬트,14
몬타나,13
메인,12
