카테고리: 모든 카테고리

지역,power plant: (25. 8. 10.~26. 8. 10.)
와이오밍,100
캔사스,31
워싱턴 DC,26
웨스트버지니아,26
메릴랜드,26
펜실베니아,23
유타,22
버지니아,22
캘리포니아,22
콜로라도,21
워싱턴,21
알래스카,21
조지아,21
아리조나,20
일리노이,20
텍사스,19
델라웨어,19
미주리,19
플로리다,19
매사추세츠,19
노스다코타,19
뉴욕,19
뉴햄프셔,19
오하이오,18
노스캐롤라이나,18
앨라배마,18
아이다호,18
네브래스카,18
코네티컷,18
사우스캐롤라이나,18
켄터키,17
뉴멕시코,17
루이지애나,17
하와이,17
오클라호마,17
버몬트,17
위스콘신,17
미시간,17
네바다,17
몬타나,17
아이오와,16
아칸소,16
테네시,16
사우스다코타,16
미네소타,16
미시시피,16
오레곤,16
인디아나,16
뉴저지,16
메인,15
로드아일랜드,13
